timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693143679293,993,HoangCV1 - get book,200,OK,Endurance Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/2,993,0,739
1693143679293,995,HoangCV1 - get book,200,OK,Endurance Test 1-2,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/1,995,0,725
1693143680287,227,HoangCV1 - get book,200,OK,Endurance Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/3,226,0,0
1693143680289,237,HoangCV1 - get book,200,OK,Endurance Test 1-2,text,true,,665,174,1,1,https://fakerestapi.azurewebsites.net/api/V1/Books/4,237,0,0
1693143765962,1005,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/1,1000,0,763
1693143766967,231,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/3,231,0,0
1693143766459,915,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,664,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/2,915,0,666
1693143767199,222,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/4,222,0,0
1693143767376,234,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,664,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/5,234,0,0
1693143767423,216,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/6,216,0,0
1693143767619,227,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/7,225,0,0
1693143767640,224,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/8,224,0,0
1693143767847,230,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,664,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/9,230,0,0
1693143767867,227,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,668,175,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/10,226,0,0
1693143768081,218,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/1,217,0,0
1693143768113,218,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/2,218,0,0
1693143768299,232,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/3,232,0,0
1693143768332,246,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/4,243,0,0
1693143768532,228,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/5,228,0,0
1693143768580,226,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/6,226,0,0
1693143768761,224,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/7,224,0,0
1693143768806,218,HoangCV1 get book,200,OK,Stress Test 1-1,text,true,,665,174,2,2,https://fakerestapi.azurewebsites.net/api/V1/Books/8,218,0,0
1693143768986,228,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,665,174,1,1,https://fakerestapi.azurewebsites.net/api/V1/Books/9,217,0,0
1693143769214,227,HoangCV1 get book,200,OK,Stress Test 1-2,text,true,,668,175,1,1,https://fakerestapi.azurewebsites.net/api/V1/Books/10,221,0,0
